id,time,friends,followers
67857215,15689,15,16
152592028,25387,10,8
49520763,8646,15,16
57849044,7704,16,16
57645823,11452,16,16
152856958,33465,13,12
152928982,12926,12,12
121878416,5584,17,17
58373718,41640,12,10
42152481,10141,13,13
152593948,11417,11,11
152821498,62716,13,13
57645081,11367,16,16
540416795,21383,8,6
152731973,59973,13,13
57589916,117550,16,16
57643355,17982,17,17
57847061,27863,17,16
464769041,42911,7,7
44759942,13990,15,15
152544470,6086,10,9
44755079,15165,15,16
643243620,44966,12,11
42014436,18580,12,12
57645164,18731,15,15
152922006,9486,11,11
152686325,18466,10,9
57644351,5361,15,15
57646368,9886,16,16
210215087,10097,11,11
57651366,18399,15,15
152727123,10929,12,11
3563153,15621,15,15
152516539,8802,12,11
14361852,20897,16,19
3218118,6019,16,16
58184220,7561,12,12
152565072,50502,13,13
57607183,116719,12,12
34831267,18269,16,16
9626939,26966,16,16
17031810,37310,15,17
152566608,22009,10,8
580981445,21245,12,11
17245879,17894,15,15
57646363,57737,16,16
25975245,9257,17,17
58173433,20790,16,16
57648077,259510,15,15
44757751,0,15,16
57643792,19529,16,16
57645212,27749,17,17
44759369,12928,13,13
152892253,22882,8,6
57652872,10913,16,16
152850155,115126,12,11
57644644,10634,16,16
152953564,8080,13,12
142880790,6326,11,10
57644366,13194,14,14
45371664,38044,13,13
111615117,14551,16,16
57648826,40703,16,16
128622286,114751,13,13
130228840,6471,13,13
210195919,30160,13,12
133788759,23626,12,12
152898768,7742,14,14
58441584,5843,16,16
152954279,13026,11,9
142571571,37397,12,11
152732457,42205,12,12
14324144,26119,16,16
758020711,9860,7,8
52795732,17632,15,14
44754951,5347,15,16
24415718,11865,16,16
57650316,5707,15,15
10332780,10066,16,16
82115288,9631,16,16
152921539,104658,13,12
57646941,20664,15,15
36215373,21012,15,15
152906315,13037,13,12
152674742,2769350,10,9
57567207,20417,15,16
152858094,21538,11,10
152896343,28740,11,10
298830669,21262,13,12
210195940,11225,14,14
65293269,49827,16,16
57652700,10992,11,11
101696166,13567,15,15
152480536,11991,11,12
210196242,13216,11,11
210200034,10686,13,13
