id,time,friends,followers
421523207,100092,9,8
152501413,1388374,7,7
152500666,108398,8,8
211527669,91764,8,6
34096572,92738,13,13
421603007,90097,7,8
7471989,76936,13,13
421458368,85353,6,3
323097999,96190,10,9
134020726,76006,10,10
3621878,719817,12,11
69500651,592785,11,9
7769511,102770,12,12
501520058,222284,8,6
81376989,1086457,11,11
715057938,79759,6,2
58482609,101241,13,11
421615448,322001,10,9
783915181,6331225,9,7
66953288,188156,14,14
137691996,833865,9,11
815129906,439706,8,5
134122386,133534,11,10
579127446,85845,8,8
33497610,109921,9,8
421465082,85615,3,3
58147364,94858,11,10
368435833,79550,8,3
155579553,84504,8,7
58339353,125670,10,12
6352463,0,9,19
421455509,82482,7,3
16588358,87598,13,12
836610386,83390,5,4
99641338,227069,12,12
836610355,225466,7,6
3563153,92647,15,15
421455735,276261,6,6
14403728,597978,6,5
154970570,169632,10,10
68783771,117043,11,9
255550130,176841,8,6
581436835,227957,9,9
836563724,6815592,6,7
44617112,4247138,9,6
14962716,78349,13,12
836390977,712625,6,3
833313481,270238,8,8
449618837,79157,8,7
59090767,101642,10,10
48667688,108842,14,11
833458789,847169,9,8
32484016,114512,12,12
152629833,80542,9,6
797881157,185701,8,7
582456229,183567,10,10
833546882,80103,6,2
833337449,142853,4,3
421480451,97635,7,6
192643090,236469,10,9
224313831,593753,5,1
351172167,98876,8,7
20582512,79098,8,5
758004696,430519,9,10
836610388,232254,9,9
281296254,97561,7,4
54647864,314994,13,9
11148181,86285,8,6
27751249,129193,13,12
421458209,75483,9,8
812484643,252968,7,4
421640322,100292,9,8
199712588,135389,11,11
299961317,81611,10,9
52450086,196046,12,12
527745298,112020,8,7
29419925,115532,8,7
578979641,85488,7,6
836020243,290537,4,5
450232968,106725,9,7
32371348,224781,8,9
403617344,79518,9,9
67461885,76536,11,14
579226837,83344,8,6
58044513,89973,9,8
148012639,82352,10,7
696947529,457605,10,10
152577183,510915,13,13
421480429,107497,6,6
399549026,281300,10,14
