id,time,friends,followers
535565731,44338,10,11
666193076,79693,8,4
749852350,65703,8,9
528891510,36584,12,12
300073001,131412,10,10
199811331,50246,9,9
83936507,52023,11,9
449586195,56365,8,8
452792051,77416,8,6
400714851,56022,10,10
254214560,47724,10,9
364542916,38081,9,7
139156164,56986,12,16
98422694,56344,13,14
6501521,54325,11,10
364454311,68196,8,7
221017399,28162,8,8
25984054,45574,12,11
449363823,57963,9,8
323041746,44656,9,5
836612355,36268,6,5
434657370,128215,8,8
252223410,284989,9,8
531831329,58531,9,9
100566614,55944,12,11
833450128,91943,7,7
289186250,33056,12,12
53051369,58559,12,9
809511622,82212,6,4
541403539,76780,6,4
163835639,73523,10,10
186147957,90163,8,6
31728771,52387,11,13
448835130,96641,9,9
747257405,104701,11,10
62126891,53104,10,10
72271492,107143,11,12
32982386,77657,13,11
299315755,85573,8,3
674297251,76190,8,5
32988872,28480,12,8
15047764,54382,11,10
24281998,46019,12,11
220959158,41926,9,6
388617592,43945,10,10
215868587,148733,10,6
836315967,37924,9,9
36616689,62339,8,6
745944961,54889,8,3
150027351,101841,11,11
106150714,100654,9,10
166782322,41870,11,8
114403391,45216,10,10
150474665,40556,9,6
149073409,67343,12,9
101195726,59286,10,10
105728567,42399,11,9
1801292,142388,10,10
578811125,181037,8,5
149674325,58729,8,8
224288361,71809,9,9
50624718,54450,11,11
139454076,66440,8,9
8729336,137150,11,11
93564244,58182,14,14
262083490,50567,10,12
45451699,54107,11,10
155554150,38671,10,8
249186385,39864,10,8
427011050,55194,12,12
674332392,58911,8,5
201680566,100938,10,9
230324233,40865,10,8
836613620,129933,6,2
182478558,76459,9,8
129267750,0,6,20
20312982,49280,10,9
236066535,60656,10,8
11000756,54278,10,10
203333943,34762,9,3
299414613,95213,9,6
746025849,56925,11,8
224966817,140245,11,12
787399317,103135,8,8
154950462,75894,11,9
2018607,322505,11,9
578743397,98969,9,6
155859871,129664,10,10
225473907,34806,11,12
163979404,28931,11,12
6652074,74606,13,11
22023240,65985,12,11
700903551,62829,6,4
