id,time,friends,followers
27350038,6297,14,14
58485789,35822,13,12
657119394,31988,7,6
582564919,7642,8,6
45013060,10619,7,6
642211257,21976,8,6
152783558,6154,7,8
57488102,40731,9,7
110951759,12927,10,10
30206421,10445,13,12
127727203,25496,9,11
112160551,9163,13,11
210187767,43796,13,13
67731804,73344,12,11
57068162,4869,11,12
299693007,59599,9,7
75128693,0,13,13
199975250,31175,9,5
193361796,43429,10,10
152732127,37557,12,12
130367758,14252,9,9
157775435,7228,11,9
95162090,9049,10,12
687027823,6441,7,2
177280136,35126,8,4
152787815,63887,13,13
44650122,5025,12,11
156652394,38222,11,11
163874646,94491,11,12
102820534,60398,10,9
48399555,13211,12,11
48724444,38353,8,7
33293144,10473,12,12
48745133,9597,12,9
37400124,16169,13,12
91963930,16899,14,14
317575119,55047,10,10
33661285,26518,10,10
196849556,39672,7,4
64664427,4728,13,10
152432959,11366,7,7
184406227,8278,10,10
34989540,28711,13,12
46331001,99398,13,13
54153846,40813,12,8
92064005,6377,10,12
21900566,8905,11,9
601629610,42447,10,5
205160128,19399,13,13
152596740,35227,12,11
155004752,5712,9,8
145156696,8942,9,9
15204621,6141,12,11
546744741,33437,6,3
647593152,15791,8,5
55277471,16754,15,15
37407109,5446,12,10
608751633,7903,4,2
45224014,16228,13,14
32897700,5231,9,6
200060062,5898,8,5
54682028,7696,11,8
35986633,9771,12,11
836610934,29382,2,2
152900169,10762,12,12
50867119,9558,13,12
115980644,5845,9,11
48719896,243333,8,4
49690618,9651,13,13
123729561,43316,11,11
56966466,68525,12,9
72457765,6300,12,12
24520756,31489,12,11
224641678,98176,9,11
37387063,13190,11,12
61266849,28505,11,14
253978439,21820,9,8
129235266,30120,10,9
152565961,9204,12,12
33671588,28340,13,12
276686860,8756,8,5
60281304,19636,11,9
127617038,69778,1,12
44632430,10931,14,14
253892554,6244,8,7
152573834,8690,11,10
687028091,34668,7,3
15656450,30918,12,12
144946644,11796,11,10
49067012,16569,15,16
127750363,36512,13,11
