id,time,friends,followers
45487487,21612,12,10
152435673,37340,10,10
58336077,16145,9,8
14188103,21549,13,13
164362121,84418,11,8
205885436,17963,8,9
223834788,32719,11,11
152713317,82346,12,13
38463131,46971,11,9
223853115,75737,9,8
152595875,42425,13,14
54402468,111034,8,9
694735600,32970,10,11
667710927,90569,8,6
57856221,16248,11,12
9116942,77330,12,10
291875109,43273,10,9
58052129,32221,11,14
65450858,19262,11,10
421479720,32462,7,8
302534797,121140,7,7
57770925,25527,13,13
58142614,69012,11,7
65281274,19625,10,10
152481323,36495,8,7
58310272,28459,9,9
130297313,94524,9,8
9023080,23123,12,13
58027398,22801,10,10
298849063,31272,9,9
164448589,32513,11,8
57605672,22410,11,10
12576899,23547,11,11
131468478,30468,7,9
81469914,26844,12,12
30674206,26918,11,10
57072407,196724,8,6
50634850,17174,12,11
217179170,12355,7,10
562752,18904,12,12
152566299,67349,13,12
69541324,154414,12,11
59635988,14184,12,10
541464070,53687,7,8
189496107,30968,11,11
49221914,28707,11,10
212596797,25844,11,11
42137644,24459,8,7
13139115,27110,12,12
16975966,68829,12,9
758007620,481245,8,8
421471946,23109,5,0
65320985,473744,13,13
220518041,34514,9,8
37126216,35613,10,10
102653250,42365,9,9
40466777,29328,11,8
72468790,42115,8,8
58254763,21294,9,7
72147573,32518,10,8
421631826,65923,8,8
152565402,68485,12,11
145687571,13526,9,9
4737223,17067,12,11
10427678,66485,13,13
2264373,56641,11,12
152580962,12395,10,8
58163768,46116,9,9
72062042,28544,9,10
112773080,26667,9,10
421461746,46239,11,11
142674089,10788,8,6
162461110,28933,9,9
95880440,20356,9,9
685630314,14931,11,12
357563924,21136,10,12
10290525,34943,10,7
833328971,22593,5,4
741569936,26382,10,10
163543991,193389,10,11
77236302,33541,10,9
84182663,37665,11,9
152731980,15940,8,7
16523641,15943,13,13
57606141,19825,13,13
254993545,92786,11,10
121976990,56738,8,6
9917729,26383,10,11
85739290,34313,10,9
76805532,0,12,15
45822167,91532,13,11
65265408,21118,11,11
