id,time,friends,followers
58104138,488,10,9
152787778,386940,11,10
54309356,250,10,8
421668882,4128,6,8
421571037,36383,9,9
131450592,809,11,11
601617395,830,8,6
106287398,406640,13,12
40003836,8696,11,11
14794735,451,13,13
19011527,2483,12,10
57766364,2156,11,9
3422521,479337,15,14
152476452,111452,9,9
238994527,30791,11,10
78810069,521,7,8
231720577,37384,10,11
36026186,22076,10,10
350012216,61302,7,5
58007191,6029,9,8
16566237,54548,7,9
152811837,81546,7,5
421512000,63,9,6
52448839,35352,9,9
152885239,35416,10,10
214281393,4173,9,6
421547574,179,8,9
67348740,367141,13,12
311223431,107439,8,5
55050733,2499,10,10
836610283,1579,3,0
130311088,9150,10,9
50191998,9858,7,5
772327954,65749,9,9
499594599,1679439,10,9
39428520,30542,11,13
71528532,1634,7,8
140497310,147,11,10
638103421,17238,8,7
57377944,10269,8,7
256853100,1608767,7,7
26911537,78002,13,11
90867390,37524,12,11
85173199,392781,13,12
179513248,281,10,9
81420466,587,11,10
357498823,28837,11,9
58055964,40637,8,7
142548083,604353,11,11
185140610,67664,8,9
29371397,62861,12,11
152928984,398946,10,9
362982481,46516,10,10
152810800,645227,11,9
185018520,37167,11,12
368139930,490715,7,7
421505842,1197,7,7
152891250,37094,8,8
33733451,25311,13,11
152912495,640673,11,11
238984433,273,8,13
30185794,99236,10,8
421490713,153686,11,12
127581624,0,9,15
456672771,174,8,8
833332313,411801,6,7
77980367,10696,13,12
210367008,32539,10,11
640358234,1043833,10,10
152695896,1188,9,9
152940859,391683,12,12
223852001,41806,10,11
129985039,3267,11,11
