id,time,friends,followers
192322465,23580,12,12
54233330,41444,11,8
223852813,42055,10,9
634944780,10405,9,8
152668917,57036,7,9
584743701,16370,9,5
44841247,22644,13,13
28650561,98619,12,11
152482771,65584,10,9
57856221,16268,11,12
252043380,25095,14,14
52576815,16840,11,11
421683156,68419,9,9
152633112,19961,10,11
73875569,6186,11,11
42115915,33242,10,9
260917703,20269,13,13
36024489,67803,9,8
149545979,2930,9,8
34199870,96441,12,12
73198614,635891,12,12
45139400,94,13,13
152622642,3314,11,10
231095588,36734,11,9
40484699,641890,10,9
20005396,278191,13,11
126191432,97915,13,12
155604154,108271,9,6
37137216,20742,13,13
35973773,0,13,13
72843371,63993,14,13
182637769,149091,8,6
32109397,5237,14,14
328577036,33039,9,9
71210267,68292,11,11
208434230,23704,12,12
128892882,576685,7,11
72189356,27278,10,11
149528512,39293,8,7
81378070,16566,11,10
57829496,253,12,10
132009978,8288,10,9
72459641,76108,13,11
298856457,17441,9,12
833298928,5840,12,12
421483854,22108,9,9
84438186,22820,11,9
699785328,95169,7,7
205891036,7839,11,10
57570482,641831,8,10
298838230,18681,11,11
102653250,25644,9,9
57232597,51591,11,10
421498129,55579,12,10
97137345,62849,10,12
58377867,22095,12,10
58174454,22356,11,10
152954726,20191,14,14
35338465,45390,12,11
298830020,57150,12,11
18720718,64254,13,11
357563924,24874,10,12
163543991,37084,10,11
145458532,24471,13,12
421493521,112499,12,12
208535296,17709,10,9
115741321,50662,13,12
212626011,45857,8,5
104956930,21210,12,13
56532015,31977,10,9
299718769,609308,11,7
31907517,109394,11,11
