id,time,friends,followers
136799035,27110,9,9
55023574,22563,13,12
531098529,22317,7,6
61265406,22981,11,9
98768307,22130,11,11
23163368,28649,14,15
65453342,25110,11,9
657142032,25888,7,7
56515832,22130,8,9
519184992,51938,8,6
131162119,42285,6,10
69561652,25286,9,9
742507530,25390,7,6
186301165,29323,10,9
50994387,22120,8,5
212618908,28002,10,9
277716155,22918,8,6
162883338,25776,11,10
56005047,25404,8,7
115068583,25760,9,14
47737666,26080,10,8
49004191,37250,9,8
58081405,49462,13,12
505566553,25654,8,7
724218168,25913,6,3
169530035,26040,13,13
169542266,35440,10,9
741762498,22281,8,6
136737408,50005,7,8
318807516,27673,5,8
836610574,27899,8,7
17570622,25556,11,11
107281158,6274747,11,10
122657255,112917,8,9
54438959,24428,11,10
648993067,21737,7,5
22111958,25027,11,12
42468068,30950,13,8
162778445,109691,10,11
56895306,119108,9,5
499514727,59165,6,6
366194838,27089,10,10
48824139,25947,9,8
836610984,134263,4,3
169536032,0,10,10
128001634,23265,8,7
129983962,26331,10,9
50633519,24437,12,12
359589657,27571,7,6
54967986,26058,13,12
15733657,25290,10,8
357770127,25927,9,9
764175850,27068,7,5
423862480,27027,8,6
67672275,32140,11,8
349615602,29913,10,6
160323302,26797,9,8
58363918,30602,11,10
65441314,26332,12,12
350308520,28331,8,7
54435251,24043,11,8
177181186,23324,10,10
194439731,29229,9,8
16857813,65098,12,11
61164250,23430,13,11
299850082,31598,9,10
4442591,25681,12,12
57472594,64322,11,10
350351524,22418,9,8
81421251,29626,12,12
57136776,27011,11,10
216784565,85731,11,10
130565291,31171,10,11
58296721,23077,9,6
450192970,22845,9,9
299191205,109658,8,6
36853193,25389,10,12
65578541,22751,12,11
179505922,34037,10,6
532413841,29902,8,9
24673838,47121,12,12
59989072,27511,11,11
24015890,31603,13,12
52074313,23564,12,11
601980435,47088,11,10
186306219,26342,11,9
102628630,21898,12,10
836611282,25979,6,4
643635717,35252,9,7
698730318,26962,5,0
666052223,27120,6,5
92747367,58676,7,2
1034708,27825,12,9
