id,time,friends,followers
32502067,687024,15,15
61932268,771649,14,14
357564176,656758,10,11
180547126,487,12,8
152713317,297970,12,12
219804835,73922,7,10
166899230,66836,12,12
711290822,1973,9,7
601881355,650264,10,12
58280366,659871,10,9
14930209,30130,13,13
152678122,288,13,12
298848686,55371,10,10
456671946,31383,11,9
175151717,834995,14,14
155308939,0,11,13
32484016,374,12,12
421501883,1918,12,11
643205736,35038,10,10
3945213,655617,11,11
78748277,255945,12,10
30693733,1560,13,13
124087500,30463,13,14
33733451,657098,13,11
58108032,42753,11,11
