id,time,friends,followers
10843334,28504,11,11
67613133,49392,11,11
500637917,18833,7,8
298561526,19513,8,7
833808835,48349,9,9
323643315,24287,13,13
66811515,30119,12,9
56339246,29044,9,8
24651058,24034,9,9
65327143,121184,13,10
127742082,27230,9,11
127167266,0,9,24
321210145,59137,8,4
58276855,57356,10,9
15655947,31089,10,10
130159075,47764,13,13
458702160,96563,8,5
21243980,20876,11,9
301347217,65577,10,8
368652088,36920,8,7
44751694,44694,10,10
132715460,25330,9,10
67056124,41485,5,8
154826669,56807,9,8
171012309,60887,10,7
307163724,19798,9,6
127860876,19548,9,9
95689395,19328,8,6
299651732,48016,9,8
44860530,62981,10,9
54228621,29757,13,12
114186941,47830,8,10
130034554,20341,8,9
16556215,38473,8,6
69503445,47935,11,13
33151195,66909,11,9
45420647,1113535,11,9
302695077,23301,8,7
275849427,56561,9,5
36776416,49626,13,13
9208279,22499,10,8
380281917,19474,6,5
71552117,62429,11,8
49226794,76582,11,8
47658349,47742,15,15
349789174,48881,8,5
129954859,30646,10,11
690082119,57406,10,10
30893434,52835,12,10
148345300,40084,8,7
14586215,31261,13,11
24503308,20195,11,11
148134825,66760,7,5
231253891,43732,6,11
836612030,77829,6,2
3938849,22836,9,9
644432693,258984,6,2
48688497,30728,10,7
133503594,28256,8,8
9342975,18307,11,11
54972986,18300,9,6
578767971,78516,7,7
583665813,18228,10,9
98795130,23407,10,10
97728082,23656,12,11
734075176,45777,7,5
67866790,63096,13,11
56292669,55956,11,8
44887588,26225,8,9
169255530,36662,9,11
83604691,48472,9,7
20309857,36989,9,10
89135882,39560,12,9
128058397,24652,11,11
1725680,29066,10,10
40607301,24692,10,9
660632673,75419,9,8
90909223,51048,11,8
128095183,57328,8,17
789883170,61809,7,5
90685924,312151,10,9
93322297,25182,11,10
72429386,58515,9,10
801837047,30938,7,6
39440223,22298,11,11
657280844,54827,7,3
49102761,137405,8,5
8355258,32015,11,9
55018307,25302,7,7
47297221,140102,8,8
